KEY|Korean|English (대문자로)|Simplified Chinese|Japaness
Tutorial_Script_01|자유로운 시간 물고기 ‘프리쉬’. \n자신의 색으로 시간을 물들이려는 괴물 ‘타이몬’. \n’타이몬'은 눈엣가시 같은 '프리쉬'를 \n못 잡아먹어 안달입니다.|‘Freesh', the time-free fish. \nMonster that wants to color time ‘Timon'. \n'Timon' wants to eat 'Freesh' \nso desperately.|自由时间中的“自由鱼”\n将时间染成自己颜色的怪物“泰门”\n “泰门”一直想要抓住“鱼”这个眼中钉|自由を求める魚’フリッシュ'\n自分の色で時間を征服したがる\nモンスター'タイモン'\nタイモンは目障りなフリッシュを\n食べようと狙っている
Tutorial_Script_02|둥근 시계 속 세상엔 장애물들이 많아요.\n점프해서 그것들을 뛰어넘으세요. \n화면을 터치하면 프리쉬가 점프합니다!|There are tuns of objects \nin the world of round shaped clock.\nJump to avoid objects.\nFreesh jumps once \nyou touch the screen.|圆钟表世界中障碍物较多\n跳跃可避开障碍物\n 点击画面时鱼可进行跳跃！|丸い時計の世界には障害物がたくさん！\nジャップで障害物乗り越えよう！\nタップするとフリッシュがジャップするよ
Tutorial_Script_03|프리쉬는 같은 색깔의 시간 속을 \n헤엄칠 수 없어요. 타이몬에게 흡수되지 \n않으려면 계속해서 색을 바꿔야 합니다.\n12시 지점의 컬러볼은 뛰어넘으면 안되요!|Freesh has to change its scales color to avoid Timon.\nDon't forget to jump over the color-ball at direction of 12 o'clock!|鱼无法在同样颜色里畅游 \n不想被泰门吞食就必须一直变换颜色\n请不要跳跃12点位置的彩球哦！|フリッシュは同じ色では泳げないの\nタイモンに食われないためには\n色をチェンジが必要\n定時にあるカラーボールは\n逃したらだめだよ
Tutorial_Script_04|어떤 컬러볼들은 \n놀라운 효과를 가지고 있습니다!|Some color-balls have amazing abilities.|有些彩球有惊人效果！|格カラーボールは\nスキルを持ちます
Tutorial_Script_05|타이몬에게 붙잡히면 프리쉬의 도망은 끝입니다. \n하지만 그대로 프리쉬가 사라지지는 않아요.\n오직 벗어나길 포기하는 순간에 사라진답니다.\n그러니 절대 도전을 멈추지 마세요!|Freesh's escape ends when Timon catches it. But it doesn't mean that Freesh disappears at the same time. \nFreesh gets eaten by Timon when it gives up to be escaped. So don't ever give up to help Freesh's adventure!|被泰门抓住后鱼的逃亡结束 \n鱼不会即时消失\n放弃逃跑的瞬间鱼会被吞食\n所以请绝对不要停止逃亡！|タイモンに捕まれたらフリッシュの自由はそこまで\nただそのままフリッシュがいなくなるのではない\n自由を諦めた瞬間フリッシュは本当にいなくなるよ/諦めず走り続けよう！
Tutorial_Boost_01|피버 부스트|Fever Boost|狂热增益|フィーバーブースター
Tutorial_Boost_02|코인 부스트|Coin Boost|金币增益|コインブースター
Tutorial_Boost_03|스코어 부스트|Score Boost|分数增益|スコアブースター
Tutorial_Boost_04|슬로우 부스트|Slow Boost|慢速增益|スローブースター
Tutorial_Boost_05|실드 부스트|Shield Boost|防御增益|シールドブースター
